country,state,stfip,cityarea,fips,zipcode,ZIPCODE,domestic1,Program,Major,Degree,Sex,Year,Graduated,DISTRICTNAME,DISTRICTNO,progflag
US,PR,72,ARECIBO,72013,613,613,US observation,ENG-BA,English,BA,M,2012-2013,1,,,Program and major included
US,PR,72,CAGUAS,72025,726,726,US observation,BIOS-BS,Biomedical Sciences,BS,M,2020-2021,1,,,Program and major included
US,PR,72,CAGUAS,72025,727,727,US observation,CJ-BA,Criminal Justice,BA,F,2005-2006,1,,,Program and major included
US,VI,78,ST THOMAS,78030,801,801,US observation,WRT-BA,Writing,BA,F,2018-2019,1,,,Program and major included
US,MA,25,AGAWAM,25013,1001,1001,US observation,BIOS-BS,Biomedical Sciences,BS,M,2016-2017,1,,,Program and major included
US,MA,25,AMHERST,25015,1004,1004,US observation,ED-MED,General Education,MED,F,2008-2009,1,,,Program and major included
US,MA,25,BELCHERTOWN,25015,1007,1007,US observation,ATH-BS,Athletic Training,BS,F,2012-2013,1,,,Program and major included
US,MA,25,BRIMFIELD,25013,1010,1010,US observation,INF-BS,Information Systems,BS,M,2003-2004,1,,,Program and major included
US,MA,25,GILBERTVILLE,25015,1031,1031,US observation,RMD-MS,Medical Dosimetry,MS,F,2023-2024,1,,,Program and major included
US,MA,25,AMHERST,25015,1035,1035,US observation,PLS-BS,Political Science,BS,M,1998-1999,1,,,Program and major included
US,MA,25,HOLYOKE,25013,1040,1040,US observation,PT-MS,Physical Therapy,MS,F,2003-2004,1,,,Program and major included
US,MA,25,HOLYOKE,25013,1040,1040,US observation,HTM-BS,Hospitality Tourism Management,BS,F,1988-1989,1,,,Program and major included
US,MA,25,HOLYOKE,25013,1040,1040,US observation,BUS-MBA,Business General,MBA,M,1994-1995,1,,,Program and major included
US,MA,25,HOLYOKE,25013,1040,1040,US observation,PSY-BS,Psychology,BS,F,1987-1988,1,,,Program and major included
US,MA,25,PALMER,25013,1069,1069,US observation,ANT-BS,Anthropology,BS,M,2010-2011,1,,,Program and major included
US,MA,25,SOUTH HADLEY,25015,1075,1075,US observation,ENG-BA,English,BA,M,1996-1997,1,,,Program and major included
US,MA,25,SOUTH HADLEY,25015,1075,1075,US observation,RDG-MED,Reading,MED,F,1999-2000,1,,,Program and major included
US,MA,25,SPRINGFIELD,25013,1109,1109,US observation,PA-BS,Public Administration,BS,M,2003-2004,1,,,Program and major included
